x-axis,1
second,rad/s
0.000000,0.022056,
0.005013,0.002543,
0.010025,0.000912,
0.015038,0.002410,
0.020050,0.036514,
0.025063,0.022221,
0.030075,0.034871,
0.035088,0.024987,
0.040100,0.028269,
0.045113,0.023323,
0.050125,0.005728,
0.055138,0.070465,
0.060150,0.057386,
0.065163,0.089223,
0.070175,0.081215,
0.075188,0.098017,
0.080201,0.118456,
0.085213,0.181020,
0.090226,0.203692,
0.095238,0.198470,
0.100251,0.190336,
0.105263,0.207566,
0.110276,0.261724,
0.115288,0.252515,
0.120301,0.286315,
0.125313,0.270058,
0.130326,0.290782,
0.135338,0.313905,
0.140351,0.358126,
0.145363,0.330139,
0.150376,0.343112,
0.155388,0.330688,
0.160401,0.346575,
0.165414,0.390266,
0.170426,0.396580,
0.175439,0.430238,
0.180451,0.401488,
0.185464,0.394480,
0.190476,0.396471,
0.195489,0.414323,
0.200501,0.393814,
0.205514,0.423210,
0.210526,0.403371,
0.215539,0.449198,
0.220551,0.404891,
0.225564,0.403231,
0.230576,0.418520,
0.235589,0.386065,
0.240602,0.366420,
0.245614,0.399321,
0.250627,0.390170,
0.255639,0.430883,
0.260652,0.369500,
0.265664,0.377345,
0.270677,0.387612,
0.275689,0.348643,
0.280702,0.342134,
0.285714,0.347374,
0.290727,0.367303,
0.295739,0.301875,
0.300752,0.327790,
0.305764,0.297559,
0.310777,0.299882,
0.315789,0.279589,
0.320802,0.279484,
0.325815,0.259574,
0.330827,0.257300,
0.335840,0.234608,
0.340852,0.241189,
0.345865,0.241999,
0.350877,0.259749,
0.355890,0.176122,
0.360902,0.160220,
0.365915,0.221811,
0.370927,0.228723,
0.375940,0.161691,
0.380952,0.172645,
0.385965,0.178629,
0.390977,0.154013,
0.395990,0.195481,
0.401003,0.156554,
0.406015,0.154189,
0.411028,0.144008,
0.416040,0.130568,
0.421053,0.145802,
0.426065,0.181879,
0.431078,0.109277,
0.436090,0.188277,
0.441103,0.153914,
0.446115,0.143462,
0.451128,0.182864,
0.456140,0.180704,
0.461153,0.139125,
0.466165,0.180709,
0.471178,0.190021,
0.476190,0.187044,
0.481203,0.172460,
0.486216,0.186607,
0.491228,0.178056,
0.496241,0.217278,
0.501253,0.211662,
0.506266,0.197827,
