x-axis,1
second,Volt
0.000000,0.022717,
0.000500,0.002437,
0.001001,-0.000272,
0.001501,-0.000980,
0.002001,0.030546,
0.002501,0.010855,
0.003002,0.017576,
0.003502,-0.000199,
0.004002,-0.005630,
0.004502,-0.020678,
0.005003,-0.049815,
0.005503,0.004878,
0.006003,-0.021462,
0.006503,-0.002329,
0.007004,-0.024926,
0.007504,-0.022564,
0.008004,-0.016952,
0.008504,0.031656,
0.009005,0.038880,
0.009505,0.017177,
0.010005,-0.007620,
0.010505,-0.006292,
0.011006,0.033167,
0.011506,0.007546,
0.012006,0.026500,
0.012506,-0.005743,
0.013007,0.000549,
0.013507,0.009832,
0.014007,0.041439,
0.014507,-0.000668,
0.015008,0.000138,
0.015508,-0.024437,
0.016008,-0.019020,
0.016508,0.015910,
0.017009,0.013257,
0.017509,0.039715,
0.018009,0.002868,
0.018509,-0.010590,
0.019010,-0.013769,
0.019510,0.000406,
0.020010,-0.023909,
0.020510,0.004194,
0.021011,-0.017407,
0.021511,0.029621,
0.022011,-0.015216,
0.022511,-0.015178,
0.023012,0.003233,
0.023512,-0.026648,
0.024012,-0.042491,
0.024512,-0.003412,
0.025013,-0.006890,
0.025513,0.041696,
0.026013,-0.014226,
0.026513,0.001755,
0.027014,0.020769,
0.027514,-0.010450,
0.028014,-0.007815,
0.028514,0.007279,
0.029015,0.037798,
0.029515,-0.019367,
0.030015,0.017721,
0.030515,-0.002913,
0.031016,0.010031,
0.031516,-0.000333,
0.032016,0.010025,
0.032516,-0.000146,
0.033017,0.007665,
0.033517,-0.005791,
0.034017,0.010617,
0.034517,0.020747,
0.035018,0.047947,
0.035518,-0.029692,
0.036018,-0.038031,
0.036518,0.032957,
0.037019,0.047103,
0.037519,-0.015463,
0.038019,0.001723,
0.038519,0.013199,
0.039020,-0.007451,
0.039520,0.039346,
0.040020,0.002709,
0.040520,0.003099,
0.041021,-0.005193,
0.041521,-0.017469,
0.042021,-0.000834,
0.042521,0.036659,
0.043022,-0.038385,
0.043522,0.042140,
0.044022,0.005340,
0.044522,-0.007371,
0.045023,0.030755,
0.045523,0.025585,
0.046023,-0.020642,
0.046523,0.018364,
0.047024,0.023739,
0.047524,0.016100,
0.048024,-0.003815,
0.048524,0.005580,
0.049025,-0.008647,
0.049525,0.026126,
0.050025,0.014548,
0.050525,-0.005623,
0.051026,0.020078,
0.051526,0.018195,
0.052026,0.020276,
0.052526,-0.022443,
0.053027,0.013075,
0.053527,0.020159,
0.054027,0.011350,
0.054527,0.060459,
0.055028,0.022732,
0.055528,0.010089,
0.056028,0.012284,
0.056528,0.024943,
0.057029,0.015308,
0.057529,0.031982,
0.058029,0.052760,
0.058529,0.066062,
0.059030,0.045162,
0.059530,0.054527,
0.060030,0.043136,
0.060530,-0.015836,
0.061031,0.026551,
0.061531,0.030864,
0.062031,0.003801,
0.062531,0.038614,
0.063032,0.037734,
0.063532,0.017196,
0.064032,0.034546,
0.064532,0.048420,
0.065033,0.038507,
0.065533,0.018150,
0.066033,0.038907,
0.066533,0.005052,
0.067034,0.048550,
0.067534,0.052007,
0.068034,0.033898,
0.068534,0.021396,
0.069035,0.034742,
0.069535,0.010220,
0.070035,0.058638,
0.070535,0.022610,
0.071036,0.018467,
0.071536,0.060963,
0.072036,0.037944,
0.072536,0.014425,
0.073037,0.063515,
0.073537,0.047139,
0.074037,0.025967,
0.074537,0.034851,
0.075038,0.000931,
0.075538,0.070109,
0.076038,0.045838,
0.076538,0.062672,
0.077039,0.081731,
0.077539,0.031384,
0.078039,0.040146,
0.078539,0.027692,
0.079040,0.069177,
0.079540,0.035076,
0.080040,0.017332,
0.080540,0.070902,
0.081041,0.051108,
0.081541,0.031736,
0.082041,0.050246,
0.082541,0.040291,
0.083042,0.041744,
0.083542,0.070685,
0.084042,-0.001372,
0.084542,0.037036,
0.085043,0.037366,
0.085543,0.033603,
0.086043,0.028573,
0.086543,0.058051,
0.087044,0.042789,
0.087544,0.022186,
0.088044,0.069789,
0.088544,0.064939,
0.089045,0.025785,
0.089545,0.008347,
0.090045,0.058927,
0.090545,0.086860,
0.091046,0.114254,
0.091546,0.058468,
0.092046,0.057650,
0.092546,0.056762,
0.093047,0.030278,
0.093547,0.071402,
0.094047,0.071077,
0.094547,0.068897,
0.095048,0.034511,
0.095548,0.059743,
0.096048,0.014455,
0.096548,0.045073,
0.097049,0.024322,
0.097549,0.077649,
0.098049,0.094289,
0.098549,0.053112,
0.099050,0.089149,
0.099550,0.082339,
0.100050,0.095139,
0.100550,0.052245,
0.101051,0.062359,
0.101551,0.073921,
0.102051,0.085825,
0.102551,0.098470,
0.103052,0.042752,
0.103552,0.086902,
0.104052,0.090127,
0.104552,0.043275,
0.105053,0.073750,
0.105553,0.049974,
0.106053,0.088363,
0.106553,0.061737,
0.107054,0.095392,
0.107554,0.088524,
0.108054,0.069257,
0.108554,0.089342,
0.109055,0.102872,
0.109555,0.104386,
0.110055,0.058814,
0.110555,0.059595,
0.111056,0.084007,
0.111556,0.118158,
0.112056,0.099108,
0.112556,0.123997,
0.113057,0.081117,
0.113557,0.079713,
0.114057,0.102149,
0.114557,0.106327,
0.115058,0.112731,
0.115558,0.104040,
0.116058,0.087357,
0.116558,0.102506,
0.117059,0.067298,
0.117559,0.104012,
0.118059,0.127081,
0.118559,0.125767,
0.119060,0.094327,
0.119560,0.096533,
0.120060,0.108718,
0.120560,0.114163,
0.121061,0.093770,
0.121561,0.098422,
0.122061,0.102748,
0.122561,0.070485,
0.123062,0.123737,
0.123562,0.093135,
0.124062,0.109977,
0.124562,0.113508,
0.125063,0.085091,
0.125563,0.114566,
0.126063,0.073682,
0.126563,0.058384,
0.127064,0.091407,
0.127564,0.104594,
0.128064,0.101166,
0.128564,0.086110,
0.129065,0.094096,
0.129565,0.140410,
0.130065,0.093745,
0.130565,0.100484,
0.131066,0.129827,
0.131566,0.145561,
0.132066,0.123709,
0.132566,0.071423,
0.133067,0.123470,
0.133567,0.105505,
0.134067,0.132098,
0.134567,0.126879,
0.135068,0.123089,
0.135568,0.157060,
0.136068,0.127953,
0.136568,0.146452,
0.137069,0.069831,
0.137569,0.114456,
0.138069,0.142149,
0.138569,0.106633,
0.139070,0.137456,
0.139570,0.146304,
0.140070,0.097004,
0.140570,0.096369,
0.141071,0.133896,
0.141571,0.141056,
0.142071,0.107504,
0.142571,0.136551,
0.143072,0.125167,
0.143572,0.141983,
0.144072,0.155830,
0.144572,0.134582,
0.145073,0.120222,
0.145573,0.137438,
0.146073,0.185098,
0.146573,0.073011,
0.147074,0.160552,
0.147574,0.120587,
0.148074,0.192368,
0.148574,0.151262,
0.149075,0.141142,
0.149575,0.164253,
0.150075,0.175952,
0.150575,0.131583,
0.151076,0.120236,
0.151576,0.124301,
0.152076,0.161145,
0.152576,0.167140,
0.153077,0.141967,
0.153577,0.137268,
0.154077,0.143562,
0.154577,0.154662,
0.155078,0.148009,
0.155578,0.183320,
0.156078,0.146174,
0.156578,0.188804,
0.157079,0.170618,
0.157579,0.146014,
0.158079,0.152571,
0.158579,0.142855,
0.159080,0.139928,
0.159580,0.191944,
0.160080,0.141204,
0.160580,0.185379,
0.161081,0.155577,
0.161581,0.162209,
0.162081,0.180903,
0.162581,0.148259,
0.163082,0.153160,
0.163582,0.184255,
0.164082,0.153820,
0.164582,0.208414,
0.165083,0.152788,
0.165583,0.169467,
0.166083,0.179810,
0.166583,0.169887,
0.167084,0.198415,
0.167584,0.182213,
0.168084,0.189917,
0.168584,0.161140,
0.169085,0.231175,
0.169585,0.173051,
0.170085,0.191709,
0.170585,0.162218,
0.171086,0.166665,
0.171586,0.196226,
0.172086,0.217808,
0.172586,0.227920,
0.173087,0.205404,
0.173587,0.171752,
0.174087,0.193775,
0.174587,0.161143,
0.175088,0.233960,
0.175588,0.179254,
0.176088,0.152459,
0.176588,0.162945,
0.177089,0.225605,
0.177589,0.181241,
0.178089,0.238461,
0.178589,0.203709,
0.179090,0.166343,
0.179590,0.189477,
0.180090,0.211229,
0.180590,0.160736,
0.181091,0.187200,
0.181591,0.212574,
0.182091,0.204547,
